Species,EPU,sex,YEAR,MeanCond,nCond,n
Pollock,SS,F,2018,107.54145477174089,9,27
Pollock,SS,M,1992,102.39536816020586,12,26
Pollock,SS,M,1993,100.01133523568024,8,26
Pollock,SS,M,1994,102.37806059846103,17,26
Pollock,SS,M,1995,106.71093955410646,28,26
Pollock,SS,M,1996,104.74685940162438,14,26
Pollock,SS,M,1997,103.87684123669679,7,26
Pollock,SS,M,1998,97.15177863909284,21,26
Pollock,SS,M,1999,103.15450360549654,29,26
Pollock,SS,M,2000,97.69452764751097,29,26
Pollock,SS,M,2001,99.9554712361995,17,26
Pollock,SS,M,2002,98.93237594581886,46,26
Pollock,SS,M,2003,94.5489545383824,38,26
Pollock,SS,M,2004,98.4591424962803,56,26
Pollock,SS,M,2005,102.16138975155646,22,26
Pollock,SS,M,2006,103.88431835906744,4,26
Pollock,SS,M,2007,102.5492789371738,10,26
Pollock,SS,M,2008,95.59821369067672,17,26
Pollock,SS,M,2009,99.9781935653801,7,26
Pollock,SS,M,2010,99.1301410188183,4,26
Pollock,SS,M,2011,101.21731250501144,22,26
Pollock,SS,M,2012,99.408276219437,62,26
Pollock,SS,M,2013,103.14972561104977,30,26
Pollock,SS,M,2014,100.39288243242804,50,26
Pollock,SS,M,2015,98.21884826719625,44,26
Pollock,SS,M,2016,98.68681570955428,13,26
Pollock,SS,M,2017,98.18339147948572,23,26
Red Hake,SS,F,1992,98.5048162100851,26,27
Red Hake,SS,F,1993,102.33675261264295,35,27
Red Hake,SS,F,1994,101.12259114811134,32,27
Red Hake,SS,F,1995,100.2117424190081,23,27
Red Hake,SS,F,1996,98.54708089614991,30,27
Red Hake,SS,F,1997,98.36485204203866,28,27
Red Hake,SS,F,1998,104.51895471743798,28,27
Red Hake,SS,F,1999,104.30400530734737,22,27
Red Hake,SS,F,2000,99.5872899664709,38,27
Red Hake,SS,F,2001,90.95528030109847,35,27
Red Hake,SS,F,2002,98.64467074836207,19,27
Red Hake,SS,F,2003,96.07833223455827,24,27
Red Hake,SS,F,2004,93.25913247204579,10,27
Red Hake,SS,F,2005,89.66606660388767,12,27
Red Hake,SS,F,2006,98.62973122729517,9,27
Red Hake,SS,F,2007,95.6582524146525,27,27
Red Hake,SS,F,2008,99.35658450690458,19,27
Red Hake,SS,F,2009,103.68890587227783,29,27
Red Hake,SS,F,2010,103.59259601349693,18,27
Red Hake,SS,F,2011,105.88875304932078,13,27
Red Hake,SS,F,2012,107.69324647336985,34,27
Red Hake,SS,F,2013,105.74878734187854,26,27
Red Hake,SS,F,2014,101.20699615043793,70,27
Red Hake,SS,F,2015,103.38228114298947,79,27
Red Hake,SS,F,2016,104.64020153724947,56,27
Red Hake,SS,F,2017,101.76982554071849,31,27
Red Hake,SS,F,2018,102.91436204456112,12,27
Red Hake,SS,M,1992,100.68022169216495,14,27
Red Hake,SS,M,1993,103.68577846391518,32,27
Red Hake,SS,M,1994,100.85182713833449,23,27
Red Hake,SS,M,1995,102.87172442065108,21,27
Red Hake,SS,M,1996,97.20884194129933,24,27
Red Hake,SS,M,1997,101.50265995511523,14,27
Red Hake,SS,M,1998,106.12121196969207,20,27
Red Hake,SS,M,1999,106.09536934089228,13,27
Red Hake,SS,M,2000,100.26993994962291,38,27
Red Hake,SS,M,2001,95.55503609904781,10,27
Red Hake,SS,M,2002,96.70868459750302,12,27
Red Hake,SS,M,2003,96.75314262001497,25,27
Red Hake,SS,M,2004,92.73837372510714,7,27
Red Hake,SS,M,2005,94.81646757072338,6,27
Red Hake,SS,M,2006,98.84593926786336,12,27
Red Hake,SS,M,2007,98.63567171253,16,27
Red Hake,SS,M,2008,93.99681995757388,8,27
Red Hake,SS,M,2009,102.18602006887417,20,27
Red Hake,SS,M,2010,106.53265163175246,9,27
Red Hake,SS,M,2011,103.83873901566346,14,27
Red Hake,SS,M,2012,108.17125994964076,24,27
Red Hake,SS,M,2013,107.35363674456327,30,27
Red Hake,SS,M,2014,106.31622494229677,44,27
Red Hake,SS,M,2015,105.0639336038249,45,27
Red Hake,SS,M,2016,102.52536297121132,48,27
Red Hake,SS,M,2017,102.03779362927682,16,27
Red Hake,SS,M,2018,98.64247671305296,11,27
Silver Hake,SS,F,1992,93.27319143723956,136,27
Silver Hake,SS,F,1993,94.20209612915436,161,27
Silver Hake,SS,F,1994,98.98077547269372,108,27
Silver Hake,SS,F,1995,97.91143306814895,80,27
Silver Hake,SS,F,1996,101.58958574307557,67,27
Silver Hake,SS,F,1997,98.67753226608876,25,27
Silver Hake,SS,F,1998,98.24877846556647,92,27
Silver Hake,SS,F,1999,98.66287783687093,76,27
Silver Hake,SS,F,2000,92.96261464539194,136,27
Silver Hake,SS,F,2001,92.23143872901828,87,27
Silver Hake,SS,F,2002,97.38581437215898,126,27
Silver Hake,SS,F,2003,94.81595610757776,163,27
Silver Hake,SS,F,2004,94.56524228258596,71,27
Silver Hake,SS,F,2005,95.9885332484642,40,27
Silver Hake,SS,F,2006,99.2639593090292,50,27
Silver Hake,SS,F,2007,95.82273741160284,112,27
Silver Hake,SS,F,2008,95.56250162810451,83,27
Silver Hake,SS,F,2009,99.45652438391768,63,27
Silver Hake,SS,F,2010,98.12481508316964,45,27
Silver Hake,SS,F,2011,104.27878206462553,36,27
Silver Hake,SS,F,2012,101.09006618894632,112,27
Silver Hake,SS,F,2013,102.50589086307471,158,27
Silver Hake,SS,F,2014,97.83788886169233,85,27
Silver Hake,SS,F,2015,103.61583909603517,282,27
Silver Hake,SS,F,2016,99.84316885352052,88,27
Silver Hake,SS,F,2017,97.38023496737114,33,27
Silver Hake,SS,F,2018,95.43908999040407,12,27
Silver Hake,SS,M,1992,94.093277347087,95,27
Silver Hake,SS,M,1993,90.67404621927733,99,27
Silver Hake,SS,M,1994,98.69581389339191,54,27
Silver Hake,SS,M,1995,98.64423526333304,65,27
Silver Hake,SS,M,1996,102.23794490900833,40,27
Silver Hake,SS,M,1997,98.75229523199431,34,27
Silver Hake,SS,M,1998,96.69021024330864,51,27
Silver Hake,SS,M,1999,100.09939366559578,45,27
Silver Hake,SS,M,2000,93.53192562393083,55,27
Silver Hake,SS,M,2001,96.81044615385072,51,27
Silver Hake,SS,M,2002,98.03570400429798,84,27
Silver Hake,SS,M,2003,92.77298953405351,79,27
Silver Hake,SS,M,2004,94.50475039227898,62,27
Silver Hake,SS,M,2005,95.23670914949888,35,27
Silver Hake,SS,M,2006,100.90028212155968,29,27
Silver Hake,SS,M,2007,95.41446174644508,67,27
Silver Hake,SS,M,2008,93.88098601178393,48,27
Silver Hake,SS,M,2009,96.85791806309722,36,27
Silver Hake,SS,M,2010,93.49719138618065,31,27
Silver Hake,SS,M,2011,101.2116215059325,16,27
Silver Hake,SS,M,2012,99.98924007385028,30,27
Silver Hake,SS,M,2013,98.14459821025231,33,27
Silver Hake,SS,M,2014,98.29913734743192,24,27
Silver Hake,SS,M,2015,100.63183277928138,40,27
Silver Hake,SS,M,2016,98.54154259295142,21,27
Silver Hake,SS,M,2017,97.92339940546972,13,27
Silver Hake,SS,M,2018,93.84294520941302,9,27
Spiny Dogfish,SS,F,1992,101.56306676230615,65,26
Spiny Dogfish,SS,F,1993,98.95978371885604,50,26
Spiny Dogfish,SS,F,1994,98.73087106122911,174,26
Spiny Dogfish,SS,F,1995,97.95220582869298,82,26
Spiny Dogfish,SS,F,1996,103.10644677252441,42,26
Spiny Dogfish,SS,F,1997,101.21782905839838,80,26
Spiny Dogfish,SS,F,1998,97.25955028711867,24,26
